mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.29964251518249513,0.012542138595194343,0.02044515609741211,0.00432089815189677,7,20,25,"{'max_depth': 7, 'max_features': 20, 'n_estimators': 25}",0.7652910052910054,0.6857142857142857,0.7487458193979932,0.7065217391304348,0.7677675585284282,0.7348080816124295,0.03292450229189974,28
0.744374942779541,0.10039730921919086,0.05525665283203125,0.031927617004733795,7,20,50,"{'max_depth': 7, 'max_features': 20, 'n_estimators': 50}",0.7767195767195767,0.684021164021164,0.7311872909698997,0.7180183946488294,0.7470735785953178,0.7314040009909575,0.03073562013560477,38
1.8073045253753661,0.25705092855521816,0.08408393859863281,0.02208507864761688,7,20,150,"{'max_depth': 7, 'max_features': 20, 'n_estimators': 150}",0.7697354497354497,0.6912169312169313,0.7445652173913043,0.7416387959866221,0.7548076923076923,0.7403928173275999,0.026480210940223577,13
0.08345398902893067,0.04416882196527372,0.01753706932067871,0.008445005908616179,10,4,3,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 3}",0.6746031746031746,0.5817989417989418,0.5991847826086957,0.6031563545150501,0.7247073578595318,0.6366901222770788,0.05427455955509945,117
0.09208412170410156,0.011504181268980649,0.022408008575439453,0.008553440164670991,10,4,5,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 5}",0.7300529100529101,0.6250793650793651,0.6204013377926421,0.6555183946488295,0.720526755852843,0.670315752685318,0.04657556052700577,109
0.13476924896240233,0.010804668360887639,0.02370762825012207,0.010416601547976403,10,4,10,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 10}",0.7496296296296295,0.6486772486772486,0.6968018394648828,0.7271112040133778,0.7274247491638796,0.7099289341898036,0.03493298942360646,78
0.2585021495819092,0.023249058581073304,0.024356651306152343,0.008158965857527112,10,4,25,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 25}",0.7951322751322752,0.6677248677248678,0.7104933110367893,0.7368311036789298,0.7485367892976589,0.7317436693741042,0.04213310076081797,35
0.5180322170257569,0.08221214455108054,0.041192150115966795,0.017133633408930107,10,4,50,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 50}",0.7834920634920635,0.6702645502645502,0.7263795986622074,0.7671404682274248,0.749581939799331,0.7393717240891153,0.03941206110323725,15
1.5681721210479735,0.08889798303365919,0.07009854316711425,0.02298494064791642,10,4,150,"{'max_depth': 10, 'max_features': 4, 'n_estimators': 150}",0.7765079365079366,0.677037037037037,0.7385033444816053,0.784489966555184,0.7629598662207359,0.7478996301604998,0.03871406955739945,1
0.06633982658386231,0.004978506774970211,0.023085403442382812,0.012804573227824528,10,7,3,"{'max_depth': 10, 'max_features': 7, 'n_estimators': 3}",0.614074074074074,0.6944973544973545,0.6093227424749164,0.6873954849498327,0.7426839464882944,0.6695947204968944,0.05097900914137396,110
